support,androidx,similarity
android.support.test.espresso.remote.internal.deps.protobuf.NewInstanceSchema,androidx.datastore.preferences.protobuf.NewInstanceSchema,100.0%
android.support.test.espresso.web.internal.deps.guava.util.concurrent.AbstractListeningExecutorService,androidx.test.espresso.web.internal.deps.guava.util.concurrent.AbstractListeningExecutorService,100.0%
android.support.constraint.ConstraintsChangedListener,androidx.constraintlayout.widget.ConstraintsChangedListener,100.0%
android.support.test.espresso.core.internal.deps.guava.cache.RemovalCause,androidx.test.espresso.remote.internal.deps.guava.cache.RemovalCause,99.92%
android.support.test.espresso.web.internal.deps.guava.base.AbstractIterator,androidx.test.espresso.core.internal.deps.guava.base.AbstractIterator,99.9%
android.support.test.espresso.core.internal.deps.guava.base.Preconditions,androidx.test.espresso.core.internal.deps.guava.base.Preconditions,98.45%
android.support.wearable.internal.SharedLibraryVersion,androidx.wear.input.SharedLibraryVersion,99.6%
android.support.test.espresso.remote.internal.deps.guava.collect.ForwardingObject,androidx.test.espresso.remote.internal.deps.guava.collect.ForwardingObject,100.0%
android.support.test.espresso.core.internal.deps.guava.cache.ForwardingCache,androidx.test.espresso.remote.internal.deps.guava.cache.ForwardingCache,99.53999999999999%
android.support.test.espresso.remote.internal.deps.aidl.BaseStub,androidx.test.espresso.remote.internal.deps.aidl.BaseStub,99.25%
android.support.test.espresso.remote.internal.deps.guava.cache.CacheBuilder,androidx.test.espresso.remote.internal.deps.guava.cache.CacheBuilder,99.79%
android.support.test.espresso.web.internal.deps.guava.util.concurrent.AbstractTransformFuture,androidx.test.espresso.web.internal.deps.guava.util.concurrent.AbstractTransformFuture,97.54%
android.support.test.espresso.remote.internal.deps.protobuf.Reader,com.google.protobuf.Reader,100.0%
android.support.test.internal.runner.RunnerArgs,androidx.test.internal.runner.RunnerArgs,96.93%
android.support.test.espresso.core.internal.deps.guava.collect.Platform,androidx.test.espresso.remote.internal.deps.guava.collect.Platform,97.71%
android.support.test.espresso.core.internal.deps.guava.base.Absent,androidx.test.espresso.web.internal.deps.guava.base.Absent,100.0%
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ThreadFactoryBuilder,androidx.test.espresso.core.internal.deps.guava.util.concurrent.ThreadFactoryBuilder,99.97%
android.support.test.espresso.web.internal.deps.guava.base.Equivalence,androidx.test.espresso.core.internal.deps.guava.base.Equivalence,100.0%
android.support.test.jank.internal.WindowContentFrameStatsMonitorImpl,androidx.test.jank.internal.WindowContentFrameStatsMonitorImpl,100.0%
android.support.test.espresso.web.internal.deps.guava.cache.ForwardingCache,androidx.test.espresso.remote.internal.deps.guava.cache.ForwardingCache,99.53999999999999%
android.support.test.jank.internal.JankMonitorFactory,androidx.test.jank.internal.JankMonitorFactory,99.51%
android.support.test.espresso.remote.internal.deps.guava.math.IntMath,androidx.test.espresso.remote.internal.deps.guava.math.IntMath,100.0%
android.support.test.espresso.core.internal.deps.guava.collect.RegularImmutableList,androidx.test.espresso.web.internal.deps.guava.collect.RegularImmutableList,99.56%
android.support.test.espresso.web.internal.deps.guava.base.Predicate,androidx.test.espresso.remote.internal.deps.guava.base.Predicate,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.FieldType,androidx.test.espresso.remote.internal.deps.protobuf.FieldType,99.99%
android.support.test.espresso.remote.internal.deps.guava.base.Joiner,androidx.test.espresso.remote.internal.deps.guava.base.Joiner,99.05000000000001%
android.support.test.espresso.remote.internal.deps.guava.collect.ObjectArrays,androidx.test.espresso.web.internal.deps.guava.collect.ObjectArrays,99.94%
android.support.test.espresso.remote.internal.deps.protobuf.RawMessageInfo,androidx.wear.tiles.protobuf.RawMessageInfo,100.0%
android.support.test.orchestrator.listeners.TextListener,androidx.test.orchestrator.listeners.TextListener,98.79%
android.support.media2.subtitle.SubtitleView,androidx.media2.subtitle.SubtitleView,99.91%
android.support.test.espresso.core.internal.deps.guava.collect.UnmodifiableIterator,androidx.test.espresso.remote.internal.deps.guava.collect.UnmodifiableIterator,100.0%
android.support.test.espresso.core.internal.deps.guava.collect.Maps,androidx.test.espresso.web.internal.deps.guava.collect.Maps,99.21%
android.support.test.espresso.remote.internal.deps.protobuf.UnsafeUtil,androidx.wear.tiles.protobuf.UnsafeUtil,98.54%
android.support.test.espresso.remote.internal.deps.guava.collect.SingletonImmutableSet,com.google.common.collect.SingletonImmutableSet,97.47%
android.support.test.services.shellexecutor.ShellExecSharedConstants,androidx.test.services.shellexecutor.ShellExecSharedConstants,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.NioByteString,androidx.test.espresso.remote.internal.deps.protobuf.NioByteString,99.44%
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ExecutionList,androidx.test.espresso.core.internal.deps.guava.util.concurrent.ExecutionList,96.53%
android.support.test.espresso.remote.internal.deps.guava.collect.AbstractIndexedListIterator,androidx.test.espresso.web.internal.deps.guava.collect.AbstractIndexedListIterator,100.0%
android.support.test.espresso.core.internal.deps.guava.primitives.Ints,androidx.test.espresso.web.internal.deps.guava.primitives.Ints,100.0%
android.support.test.internal.runner.junit3.JUnit38ClassRunner,org.junit.internal.runners.JUnit38ClassRunner,99.55000000000001%
android.support.test.espresso.web.internal.deps.guava.collect.ObjectArrays,androidx.test.espresso.web.internal.deps.guava.collect.ObjectArrays,99.94%
android.support.test.services.speakeasy.server.SpeakEasy,androidx.test.services.speakeasy.server.SpeakEasy,99.26%
android.support.test.jank.internal.JankMonitor,androidx.test.jank.internal.JankMonitor,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.ProtoSyntax,androidx.test.espresso.remote.internal.deps.protobuf.ProtoSyntax,99.78%
android.support.test.espresso.remote.internal.deps.protobuf.ListFieldSchema,androidx.glance.appwidget.proto.ListFieldSchema,98.65%
android.support.test.espresso.web.internal.deps.guava.collect.ImmutableCollection,androidx.test.espresso.core.internal.deps.guava.collect.ImmutableCollection,98.28%
android.support.test.janktesthelper.v21.BuildConfig,androidx.test.janktesthelper.v21.BuildConfig,100.0%
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ListenableFuture,androidx.concurrent.ListenableFuture,100.0%
android.support.test.services.speakeasy.server.SpeakEasyContentProvider,androidx.test.services.speakeasy.server.SpeakEasyContentProvider,98.17%
android.support.test.espresso.web.internal.deps.guava.base.Supplier,androidx.core.util.Supplier,100.0%
android.support.constraint.solver.PriorityGoalRow,androidx.constraintlayout.solver.PriorityGoalRow,100.0%
android.support.test.espresso.core.internal.deps.guava.util.concurrent.Uninterruptibles,androidx.test.espresso.core.internal.deps.guava.util.concurrent.Uninterruptibles,98.33%
android.support.constraint.motion.MotionHelper,androidx.constraintlayout.motion.widget.MotionHelper,99.24%
android.support.test.jank.internal.WindowAnimationFrameStatsMonitorImpl,androidx.test.jank.internal.WindowAnimationFrameStatsMonitorImpl,100.0%
android.support.test.espresso.core.internal.deps.guava.collect.Lists,androidx.test.espresso.web.internal.deps.guava.collect.Lists,99.96000000000001%
android.support.test.espresso.remote.internal.deps.protobuf.FieldSet,androidx.test.espresso.remote.internal.deps.protobuf.FieldSet,98.99%
android.support.test.espresso.remote.internal.deps.guava.base.Platform,com.google.common.base.Platform,97.99%
android.support.constraint.solver.state.helpers.VerticalChainReference,androidx.constraintlayout.solver.state.helpers.VerticalChainReference,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.GeneratedExtensionRegistryLoader,androidx.test.espresso.remote.internal.deps.protobuf.GeneratedExtensionRegistryLoader,98.98%
android.support.test.espresso.remote.internal.deps.protobuf.MutableMessageLite,com.google.protobuf.MutableMessageLite,100.0%
android.support.test.espresso.core.internal.deps.guava.cache.Weigher,androidx.test.espresso.core.internal.deps.guava.cache.Weigher,100.0%
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.GwtFuturesCatchingSpecialization,androidx.test.espresso.core.internal.deps.guava.util.concurrent.GwtFuturesCatchingSpecialization,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.AnyOrBuilder,androidx.test.espresso.remote.internal.deps.protobuf.AnyOrBuilder,100.0%
android.support.test.espresso.remote.internal.deps.protobuf.PrimitiveNonBoxingCollection,androidx.test.espresso.remote.internal.deps.protobuf.PrimitiveNonBoxingCollection,100.0%
android.support.test.services.speakeasy.client.FindResultReceiver,androidx.test.services.speakeasy.client.FindResultReceiver,97.72999999999999%
android.support.test.espresso.core.internal.deps.guava.collect.TransformedIterator,androidx.test.espresso.web.internal.deps.guava.collect.TransformedIterator,100.0%
android.support.test.espresso.web.internal.deps.guava.cache.CacheBuilder,androidx.test.espresso.web.internal.deps.guava.cache.CacheBuilder,99.79%
android.support.test.espresso.web.internal.deps.guava.util.concurrent.Uninterruptibles,androidx.test.espresso.core.internal.deps.guava.util.concurrent.Uninterruptibles,98.33%
android.support.constraint.solver.state.helpers.ChainReference,androidx.constraintlayout.solver.state.helpers.ChainReference,100.0%
android.support.constraint.solver.widgets.analyzer.GuidelineReference,androidx.constraintlayout.core.widgets.analyzer.GuidelineReference,100.0%
