support,androidx,similarity,manual check
android.support.test.espresso.remote.internal.deps.guava.util.concurrent.ListeningScheduledExecutorService,,0.00%,0
android.support.test.espresso.web.internal.deps.guava.util.concurrent.ListeningScheduledExecutorService,,0.00%,0
android.support.test.espresso.core.internal.deps.guava.util.concurrent.ListeningScheduledExecutorService,,0.00%,0
android.support.test.espresso.core.internal.deps.dagger.internal.Factory,com.google.testing.platform.lib.grpc.stream.GrpcStreamChannel,11.62%,0
android.support.design.shape.ShapePathModel,kotlin.TypeAliasesKt,20.89%,0
android.support.wearable.view.GridPageOptions,android.databinding.parser.BindingExpressionListener,27.32%,0
android.support.design.circularreveal.CircularRevealWidget,androidx.privacysandbox.ui.core.SandboxedUiAdapter,32.92%,0
android.support.media2.CallbackDataSourceDesc2,kotlin.math.MathKt__MathHKt,33.10%,0
android.support.design.circularreveal.coordinatorlayout.CircularRevealCoordinatorLayout,kotlin.jvm.internal.InlineMarker,35.58%,0
android.support.design.circularreveal.cardview.CircularRevealCardView,kotlin.jvm.internal.InlineMarker,35.58%,0
android.support.design.circularreveal.CircularRevealFrameLayout,kotlin.jvm.internal.InlineMarker,35.61%,0
android.support.design.circularreveal.CircularRevealGridLayout,kotlin.jvm.internal.InlineMarker,35.61%,0
android.support.design.circularreveal.CircularRevealLinearLayout,kotlin.jvm.internal.InlineMarker,35.61%,0
android.support.design.circularreveal.CircularRevealRelativeLayout,kotlin.jvm.internal.InlineMarker,35.61%,0
android.support.design.internal.Experimental,androidx.camera.camera2.internal.CameraDeviceId,36.90%,0
android.support.wearable.view.SimpleAnimatorListener,androidx.benchmark.AndroidBenchmarkRunner,37.76%,0
android.support.media2.MediaSessionService2,kotlin.jvm.internal.InlineMarker,38.01%,0
android.support.wearable.view.SwipeDismissFrameLayout,androidx.benchmark.AndroidBenchmarkRunner,38.43%,0
android.support.design.widget.StateListAnimator,androidx.compose.ui.platform.AccessibilityIterators,38.43%,0
android.support.test.internal.runner.TestRequest,org.junit.runner.Request,38.45%,0
android.support.design.transformation.ExpandableTransformationBehavior,androidx.compose.animation.graphics.vector.AnimatorSet,40.05%,0
android.support.wearable.view.drawer.FlingWatcher,androidx.databinding.adapters.ViewBindingAdapter,40.17%,0
android.support.wearable.complications.ProviderInfoRetriever,androidx.wear.watchface.client.WatchFaceControlClientImpl,40.97%,0
android.support.wearable.watchface.decompositionface.DecompositionConfigView,androidx.media2.subtitle.Cea708CaptionRenderer,41.20%,0
android.support.media2.MediaPlayerConnector,kotlin.jvm.internal.InlineMarker,41.33%,0
android.support.wearable.input.RemoteInputConstants,androidx.camera.extensions.internal.sessionprocessor.MultiResolutionImageReaderOutputConfig,42.89%,0
android.support.media2.MediaSessionService2LegacyStub,androidx.media2.session.MediaSessionServiceLegacyStub,43.45%,1
android.support.design.widget.SnackbarManager,androidx.compose.runtime.CompositionImpl,43.56%,0
android.support.wearable.internal.view.drawer.MultiPagePresenter,androidx.benchmark.AndroidBenchmarkRunner,43.66%,0
android.support.wearable.view.WearableDialogHelper,androidx.appcompat.graphics.drawable.DrawableWrapperCompat,44.16%,0
android.support.wearable.view.DelayedConfirmationView,androidx.media3.exoplayer.rtsp.reader.RtpReaderUtils,44.33%,0
android.support.wearable.internal.view.drawer.WearableNavigationDrawerPresenter,io.grpc.okhttp.internal.framed.FrameReader,44.39%,0
android.support.wearable.watchface.CanvasWatchFaceService,androidx.benchmark.AndroidBenchmarkRunner,44.73%,0
android.support.wearable.view.AcceptDenyDialog,androidx.databinding.adapters.ViewBindingAdapter,45.32%,0
android.support.wearable.view.AcceptDenyDialogFragment,androidx.test.core.app.InstrumentationActivityInvoker,45.42%,0
android.support.wearable.internal.view.SwipeDismissPreferenceFragment,androidx.wear.protolayout.renderer.inflater.ProtoLayoutInflater,45.54%,0
android.support.design.chip.Chip,androidx.media3.session.MediaUtils,45.89%,0
android.support.design.widget.FloatingActionButtonImpl,androidx.constraintlayout.motion.utils.ViewSpline,46.26%,0
android.support.v4.media.session.MediaSessionCompatApi23,androidx.mediarouter.testing.MediaRouterTestHelper,46.41%,0
android.support.wearable.view.drawer.WearableNavigationDrawer,androidx.media2.common.ClassVerificationHelper,46.43%,0
android.support.wearable.watchface.decompositionface.DecompositionWatchFaceService,androidx.media3.test.utils.TestUtil,46.61%,0
android.support.media2.MediaLibraryService2ImplBase,androidx.media2.MediaLibraryServiceImplBase,46.84%,1
android.support.wearable.companion.WatchFaceCompanion,androidx.tracing.perfetto.security.MissingChecksumException,46.87%,0
android.support.media.instantvideo.preload.InstantVideoPreloadManager,androidx.media2.common.ClassVerificationHelper,47.45%,0
android.support.wearable.view.DismissOverlayView,androidx.wear.protolayout.renderer.inflater.ProtoLayoutInflater,47.52%,0
android.support.media.instantvideo.widget.InstantVideoView,androidx.media2.widget.VideoView,47.63%,0
android.support.design.expandable.ExpandableWidgetHelper,androidx.browser.trusted.TrustedWebActivityDisplayMode,47.94%,0
android.support.wearable.complications.ComplicationTextTemplate,androidx.wear.watchface.complications.data.ComplicationText,48.19%,0
android.support.wearable.notifications.BridgeModeConstants,androidx.tracing.perfetto.security.MissingChecksumException,48.30%,0
android.support.wearable.watchface.decompositionface.DecompositionConfigActivity,androidx.slice.widget.SliceViewUtil,48.33%,0
android.support.media2.MediaSession2,kotlin.jvm.internal.InlineMarker,48.92%,0
