Support Class,IDE mapping,WEB mapping
android.support.v4.os.ResultReceiver,android.support.v4.os.ResultReceiver,androidx.core.os.ResultReceiver
android.support.test.runner.AndroidJUnit4,androidx.test.ext.junit.runners.AndroidJUnit4,androidx.test.runner.AndroidJUnit4
android.support.test.InstrumentationRegistry,androidx.test.platform.app.InstrumentationRegistry,androidx.test.InstrumentationRegistry
android.support.design.math.MathUtils,com.google.android.material.math.MathUtils,
android.support.constraint.helper.Layer,androidx.constraintlayout.helper.widget.Layer,
android.support.constraint.helper.Flow,androidx.constraintlayout.helper.widget.Flow,
android.support.constraint.motion.MotionLayout,androidx.constraintlayout.motion.widget.MotionLayout,
android.support.constraint.motion.MotionHelper,androidx.constraintlayout.motion.widget.MotionHelper,
android.support.constraint.utils.MockView,androidx.constraintlayout.utils.widget.MockView,
android.support.constraint.utils.ImageFilterView,androidx.constraintlayout.utils.widget.ImageFilterView,
android.support.constraint.utils.ImageFilterButton,androidx.constraintlayout.utils.widget.ImageFilterButton,
android.support.v4.media.AudioAttributesCompatApi21,androidx.media.AudioAttributesCompatApi21,
android.support.v4.app.BaseFragmentActivityApi14,androidx.fragment.app.BaseFragmentActivityApi14,
android.support.v4.app.BaseFragmentActivityApi16,androidx.fragment.app.BaseFragmentActivityApi16,
android.support.v4.app.BaseFragment,androidx.fragment.app.BaseFragment,
android.support.v4.app.BackStack,androidx.fragment.app.BackStack,
android.support.v7.app.MediaRoute,androidx.mediarouter.app.MediaRoute,
android.support.v7.widget.PositionMap,androidx.recyclerview.widget.PositionMap,
android.support.v7.content.res.GrowingArrayUtils,androidx.core.content.res.GrowingArrayUtils,
android.support.v7.content.res.AppCompatColorStateListInflater,androidx.core.content.res.ColorStateListInflaterCompat,
android.support.design.animation.AnimationUtils,,com.google.android.material.animation.AnimationUtils
android.support.design.behavior.HideBottomViewOnScrollBehavior,,com.google.android.material.behavior.HideBottomViewOnScrollBehavior
android.support.design.button.MaterialButtonBackgroundDrawable,,com.google.android.material.button.MaterialButtonBackgroundDrawable
android.support.design.button.MaterialButtonHelper,,com.google.android.material.button.MaterialButtonHelper
android.support.design.canvas.CanvasCompat,,com.google.android.material.canvas.CanvasCompat
android.support.design.card.MaterialCardViewHelper,,com.google.android.material.card.MaterialCardViewHelper
android.support.design.drawable.DrawableUtils,,com.google.android.material.drawable.DrawableUtils
android.support.design.internal.BottomNavigationMenu,,com.google.android.material.bottomnavigation.BottomNavigationMenu
android.support.design.internal.BottomNavigationPresenter,,com.google.android.material.bottomnavigation.BottomNavigationPresenter
android.support.design.internal.Experimental,,com.google.android.material.internal.Experimental
android.support.design.internal.FlowLayout,,com.google.android.material.internal.FlowLayout
android.support.design.internal.ForegroundLinearLayout,,com.google.android.material.internal.ForegroundLinearLayout
android.support.design.internal.NavigationMenu,,com.google.android.material.internal.NavigationMenu
android.support.design.internal.NavigationMenuItemView,,com.google.android.material.internal.NavigationMenuItemView
android.support.design.internal.NavigationMenuPresenter,,com.google.android.material.internal.NavigationMenuPresenter
android.support.design.internal.NavigationMenuView,,com.google.android.material.internal.NavigationMenuView
android.support.design.internal.NavigationSubMenu,,com.google.android.material.internal.NavigationSubMenu
android.support.design.internal.ParcelableSparseArray,,com.google.android.material.internal.ParcelableSparseArray
android.support.design.internal.ScrimInsetsFrameLayout,,com.google.android.material.internal.ScrimInsetsFrameLayout
android.support.design.internal.TextScale,,com.google.android.material.internal.TextScale
android.support.design.internal.ThemeEnforcement,,com.google.android.material.internal.ThemeEnforcement
android.support.design.internal.ViewUtils,,com.google.android.material.internal.ViewUtils
android.support.design.resources.MaterialResources,,com.google.android.material.resources.MaterialResources
android.support.design.resources.TextAppearanceConfig,,com.google.android.material.resources.TextAppearanceConfig
android.support.design.ripple.RippleUtils,,com.google.android.material.ripple.RippleUtils
android.support.design.shape.CornerTreatment,,com.google.android.material.shape.CornerTreatment
android.support.design.shape.CutCornerTreatment,,com.google.android.material.shape.CutCornerTreatment
android.support.design.shape.EdgeTreatment,,com.google.android.material.shape.EdgeTreatment
android.support.design.shape.InterpolateOnScrollPositionChangeHelper,,com.google.android.material.shape.InterpolateOnScrollPositionChangeHelper
android.support.design.shape.MaterialShapeDrawable,,com.google.android.material.shape.MaterialShapeDrawable
android.support.design.shape.RoundedCornerTreatment,,com.google.android.material.shape.RoundedCornerTreatment
android.support.design.shape.ShapePath,,com.google.android.material.shape.ShapePath
android.support.design.shape.ShapePathModel,,com.google.android.material.shape.ShapePathModel
android.support.design.shape.TriangleEdgeTreatment,,com.google.android.material.shape.TriangleEdgeTreatment
android.support.design.widget.CutoutDrawable,,com.google.android.material.textfield.CutoutDrawable
android.support.design.widget.DescendantOffsetUtils,,com.google.android.material.internal.DescendantOffsetUtils
android.support.design.widget.IndicatorViewController,,com.google.android.material.textfield.IndicatorViewController
android.support.design.widget.MathUtils,,com.google.android.material.math.MathUtils
android.support.design.widget.SnackbarContentLayout,,com.google.android.material.snackbar.SnackbarContentLayout
android.support.media2.BaseRemoteMediaPlayerConnector,,android.support.media2.BaseRemoteMediaPlayerConnector
android.support.media2.DataSourceDesc2,,android.support.media2.DataSourceDesc2
android.support.media2.MediaPlayerConnector,,android.support.media2.MediaPlayerConnector
android.support.media2.MediaPlaylistAgent,,android.support.media2.MediaPlaylistAgent
android.support.media2.MediaSession2,,android.support.media2.MediaSession2
